STATE/UT,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,THEFT,OTHER IPC CRIMES,TOTAL IPC CRIMES
ANDHRA PRADESH,ADILABAD,2011,118,50,46,637,1518,4154
ANDHRA PRADESH,ANANTAPUR,2011,152,23,53,939,754,4125
ANDHRA PRADESH,CHITTOOR,2011,103,27,59,1697,1262,5818
ANDHRA PRADESH,CUDDAPAH,2011,81,20,25,448,1181,3140
ANDHRA PRADESH,EAST GODAVARI,2011,83,23,49,2504,2313,6507
ANDHRA PRADESH,GUNTAKAL RLY.,2011,3,0,0,326,104,287
ANDHRA PRADESH,GUNTUR,2011,184,54,82,2641,2426,7848
ANDHRA PRADESH,HYDERABAD URBAN,2011,118,37,80,6806,1512,11831
ANDHRA PRADESH,KARIMNAGAR,2011,168,56,67,1052,1726,5811
ANDHRA PRADESH,KHAMMAM,2011,94,47,41,921,1450,4582
ANDHRA PRADESH,KRISHNA,2011,65,37,36,1134,862,4779
ANDHRA PRADESH,KURNOOL,2011,137,29,47,771,1401,4581
ANDHRA PRADESH,MAHABOOBNAGAR,2011,183,59,42,908,2158,4819
ANDHRA PRADESH,MEDAK,2011,113,35,26,817,454,3532
ANDHRA PRADESH,NALGONDA,2011,123,35,27,797,1781,5002
ANDHRA PRADESH,NELLORE,2011,94,46,90,1476,1585,5245
ANDHRA PRADESH,NIZAMABAD,2011,120,21,38,648,787,3621
ANDHRA PRADESH,PRAKASHAM,2011,105,19,31,717,808,3678
ANDHRA PRADESH,RANGA REDDY,2011,230,72,106,3746,2103,9867
ANDHRA PRADESH,SECUNDERABAD RLY.,2011,6,0,0,604,68,439
ANDHRA PRADESH,SRIKAKULAM,2011,42,8,12,584,926,2572
ANDHRA PRADESH,VIJAYAWADA,2011,58,25,70,4632,724,6733
ANDHRA PRADESH,VIJAYAWADA RLY.,2011,2,1,0,531,25,320
ANDHRA PRADESH,VISAKHA,2011,58,12,12,409,685,3183
ANDHRA PRADESH,VISAKHAPATNAM,2011,23,13,13,1588,928,3422
ANDHRA PRADESH,VIZIANAGARAM,2011,34,8,8,389,880,2178
ANDHRA PRADESH,WARANGAL,2011,163,53,81,1125,2314,6319
ANDHRA PRADESH,WEST GODAVARI,2011,78,61,41,2504,1609,5696
ARUNACHAL PRADESH,CHANGLANG,2011,11,1,3,70,54,163
ARUNACHAL PRADESH,DIBANG VALLEY,2011,3,2,4,61,45,139
ARUNACHAL PRADESH,KAMENG EAST,2011,3,2,7,66,28,126
ARUNACHAL PRADESH,KAMENG WEST,2011,4,0,2,58,30,103
ARUNACHAL PRADESH,LOHIT,2011,17,2,6,90,38,190
ARUNACHAL PRADESH,PAPUM PARE,2011,11,9,15,306,129,498
ARUNACHAL PRADESH,SIANG EAST,2011,7,5,11,137,54,243
ARUNACHAL PRADESH,SIANG UPPER,2011,1,2,5,23,11,56
ARUNACHAL PRADESH,SIANG WEST,2011,5,4,17,188,89,361
ARUNACHAL PRADESH,SUBANSIRI LOWER,2011,9,2,6,74,44,148
ARUNACHAL PRADESH,SUBANSIRI UPPER,2011,4,2,1,62,40,140
ARUNACHAL PRADESH,TAWANG,2011,2,1,0,29,19,48
ARUNACHAL PRADESH,TIRAP,2011,9,1,6,54,37,127
ASSAM,BARPETA,2011,64,28,105,512,430,1778
ASSAM,BONGAIGAON,2011,45,20,36,296,188,810
ASSAM,C.I.D.,2011,0,0,0,2,2,8
ASSAM,CACHAR,2011,53,45,104,949,1124,3462
ASSAM,DARRANG,2011,61,48,64,510,273,1454
ASSAM,DHEMAJI,2011,15,42,31,196,126,652
ASSAM,DHUBRI,2011,65,43,69,264,204,1505
ASSAM,DIBRUGARH,2011,116,35,57,793,264,1565
ASSAM,G.R.P.,2011,13,1,3,297,110,343
ASSAM,GOALPARA,2011,28,35,43,306,100,873
ASSAM,GOLAGHAT,2011,53,30,44,544,363,1166
ASSAM,GUWAHATI URBAN,2011,83,37,129,1772,1308,4373
ASSAM,HAILAKANDI,2011,18,24,36,285,197,820
ASSAM,JORHAT,2011,42,42,37,530,363,1190
ASSAM,KAMRUP,2011,45,21,95,787,612,2011
ASSAM,KARBI ANGLONG,2011,68,5,38,204,200,721
ASSAM,KARIMGANJ,2011,32,33,42,290,97,843
ASSAM,KOKRAJHAR,2011,88,14,41,230,117,776
ASSAM,LAKHIMPUR,2011,27,64,72,561,422,1779
ASSAM,MORIGAON,2011,20,23,39,226,259,731
ASSAM,N.C.HILLS,2011,18,2,8,82,30,187
ASSAM,NAGAON,2011,98,51,119,1303,701,3202
ASSAM,NALBARI,2011,79,30,53,373,433,1194
ASSAM,R.P.O.,2011,11,3,2,61,26,101
ASSAM,SIBSAGAR,2011,59,47,64,728,546,1643
ASSAM,SONITPUR,2011,87,53,87,908,575,2309
ASSAM,TINSUKIA,2011,108,41,62,835,245,1381
BIHAR,ARARIA,2011,51,93,79,445,944,2069
BIHAR,ARWAL,2011,38,0,13,76,51,591
BIHAR,AURANGABAD,2011,74,16,24,371,867,1690
BIHAR,BAGAHA,2011,46,25,56,246,146,912
BIHAR,BANKA,2011,97,34,27,236,758,1386
BIHAR,BEGUSARAI,2011,129,13,53,673,1515,2628
BIHAR,BETTIAH,2011,86,20,84,655,782,2796
BIHAR,BHABHUA,2011,44,10,43,490,486,1368
BIHAR,BHAGALPUR,2011,134,35,66,922,1343,2634
BIHAR,BHOJPUR,2011,135,22,46,591,1217,2806
BIHAR,BUXAR,2011,56,8,34,468,800,1674
BIHAR,DARBHANGA,2011,57,19,39,308,1715,2572
BIHAR,GAYA,2011,207,25,66,1095,862,3182
BIHAR,GOPALGANJ,2011,111,13,59,460,807,2098
BIHAR,JAMALPUR RLY.,2011,7,1,4,248,62,225
BIHAR,JAMUI,2011,70,10,14,216,289,1046
BIHAR,JEHANABAD,2011,75,6,35,317,694,1353
BIHAR,KATIHAR,2011,62,51,49,371,904,1811
BIHAR,KATIHAR RLY.,2011,7,0,3,473,116,417
BIHAR,KHAGARIA,2011,74,5,34,218,353,895
BIHAR,KISHANGANJ,2011,26,22,23,158,481,897
BIHAR,LAKHISARAI,2011,66,10,30,196,305,754
BIHAR,MADHEPURA,2011,63,11,49,182,550,1062
BIHAR,MADHUBANI,2011,40,13,36,299,1503,2897
BIHAR,MOTIHARI,2011,125,44,100,726,2243,3881
BIHAR,MUNGER,2011,51,11,45,400,787,1758
BIHAR,MUZAFFARPUR,2011,174,73,113,1329,1867,4212
BIHAR,MUZAFFARPUR RLY.,2011,13,2,5,649,81,538
BIHAR,NALANDA,2011,226,40,126,1013,1006,3479
BIHAR,NAUGACHIA,2011,36,7,29,89,193,570
BIHAR,NAWADAH,2011,82,15,42,200,555,1515
BIHAR,PATNA,2011,464,27,197,3976,2825,8583
BIHAR,PATNA RLY.,2011,24,1,3,1647,174,1127
BIHAR,PURNEA,2011,114,39,64,651,785,2054
BIHAR,ROHTAS,2011,131,25,72,846,535,2961
BIHAR,SAHARSA,2011,39,12,27,151,244,1066
BIHAR,SAMASTIPUR,2011,127,19,75,649,1261,2853
BIHAR,SARAN,2011,137,20,65,681,1087,3442
BIHAR,SHEIKHPURA,2011,29,3,16,205,408,804
BIHAR,SHEOHAR,2011,19,11,13,45,305,428
BIHAR,SITAMARHI,2011,54,23,34,326,1111,1797
BIHAR,SIWAN,2011,125,4,51,401,753,1853
BIHAR,SUPAUL,2011,45,30,26,347,1040,1672
BIHAR,VAISHALI,2011,123,20,90,793,1857,4076
CHHATTISGARH,BALRAMPUR,2011,13,17,1,79,40,235
CHHATTISGARH,BILASPUR,2011,110,69,20,1968,1617,4353
CHHATTISGARH,BIZAPUR,2011,9,4,0,21,19,86
CHHATTISGARH,DANTEWARA,2011,83,19,11,192,259,739
CHHATTISGARH,DHAMTARI,2011,14,22,4,345,450,996
CHHATTISGARH,DURG,2011,76,144,57,2429,3302,6544
CHHATTISGARH,GRP RAIPUR,2011,2,0,0,411,77,315
CHHATTISGARH,JAGDALPUR,2011,84,59,6,513,932,1812
CHHATTISGARH,JANJGIR,2011,48,29,9,692,471,2059
CHHATTISGARH,JASHPUR,2011,43,36,2,213,240,719
CHHATTISGARH,KANKER,2011,32,42,4,178,347,760
CHHATTISGARH,KAWARDHA,2011,21,35,1,157,236,685
CHHATTISGARH,KORBA,2011,34,46,13,839,634,2112
CHHATTISGARH,KORIYA,2011,39,34,7,540,764,1644
CHHATTISGARH,MAHASAMUND,2011,23,43,7,406,416,1185
CHHATTISGARH,RAIGARH,2011,50,53,6,571,571,1650
CHHATTISGARH,RAIPUR,2011,102,104,38,2757,2518,6786
CHHATTISGARH,RAJNANDGAON,2011,36,58,4,766,1601,2650
CHHATTISGARH,SARGUJA,2011,106,145,17,1029,1296,3130
GOA,NORTH GOA,2011,26,4,4,781,404,1271
GOA,SOUTH GOA,2011,15,8,5,755,293,1070
GUJARAT,AHMEDABAD COMMR.,2011,150,39,143,8063,6129,13496
GUJARAT,AHMEDABAD,2011,27,5,27,597,797,2146
GUJARAT,AHWA-DANG,2011,6,1,2,23,54,147
GUJARAT,AMRELI,2011,41,2,39,550,1080,2191
GUJARAT,ANAND,2011,28,3,30,1063,1896,3879
GUJARAT,BHARUCH,2011,37,4,39,943,1542,3052
GUJARAT,BHAVNAGAR,2011,64,9,60,1373,3438,5088
GUJARAT,DAHOD,2011,36,5,15,360,863,1717
GUJARAT,GANDHINAGAR,2011,25,4,15,1374,1879,3478
GUJARAT,HIMATNAGAR,2011,58,17,31,615,2470,4013
GUJARAT,JAMNAGAR,2011,50,20,27,1284,2254,3857
GUJARAT,JUNAGADH,2011,56,14,46,1398,2706,5186
GUJARAT,KHEDA NORTH,2011,42,11,30,894,2195,3851
GUJARAT,KUTCH,2011,52,2,24,758,1763,3355
GUJARAT,MEHSANA,2011,28,4,58,1354,2394,5175
GUJARAT,NARMADA,2011,16,8,9,106,246,536
GUJARAT,NAVSARI,2011,26,2,6,351,867,1404
GUJARAT,PALANPUR,2011,52,18,41,1099,1102,3887
GUJARAT,PANCHMAHAL,2011,56,5,46,792,1122,2535
GUJARAT,PATAN,2011,24,3,21,535,1283,2447
GUJARAT,PORBANDAR,2011,15,6,5,279,704,1215
GUJARAT,RAJKOT COMMR.,2011,30,5,46,2827,1883,4774
GUJARAT,RAJKOT,2011,33,20,40,977,2298,4402
GUJARAT,SURAT COMMR.,2011,100,11,57,3256,823,3995
GUJARAT,SURAT,2011,62,26,23,566,501,1766
GUJARAT,SURENDRANAGAR,2011,38,11,29,524,1883,3113
GUJARAT,VADODARA COMMR.,2011,34,3,35,2277,2601,5047
GUJARAT,VADODARA,2011,72,18,38,508,1877,3137
GUJARAT,VALSAD,2011,47,9,16,1135,1802,3109
GUJARAT,W.RLY,2011,15,1,0,1920,267,1421
HARYANA,AMBALA,2011,28,11,38,1064,985,2346
HARYANA,BHIWANI,2011,48,10,9,531,849,1855
HARYANA,FARIDABAD,2011,75,37,78,1616,3531,5808
HARYANA,FATEHABAD,2011,20,17,20,389,468,1214
HARYANA,GRP,2011,24,0,2,344,346,615
HARYANA,GURGAON,2011,74,32,50,1933,1530,3502
HARYANA,HISSAR,2011,52,10,26,1147,1177,2830
HARYANA,JHAJJAR,2011,50,21,14,489,466,1501
HARYANA,JIND,2011,43,21,12,475,512,1452
HARYANA,KAITHAL,2011,41,16,9,400,396,1195
HARYANA,KARNAL,2011,49,44,31,1160,335,2383
HARYANA,KURUKSHETRA,2011,24,31,14,831,738,1753
HARYANA,MAHENDRAGARH,2011,26,11,13,292,611,1169
HARYANA,PANCHKULA,2011,13,6,18,575,440,1054
HARYANA,PANIPAT,2011,46,38,19,1059,513,1895
HARYANA,REWARI,2011,25,11,13,403,638,1214
HARYANA,ROHTAK,2011,58,28,13,988,534,1856
HARYANA,SIRSA,2011,42,17,18,679,645,1768
HARYANA,SONIPAT,2011,77,15,26,852,607,1944
HARYANA,YAMUNANAGAR,2011,44,22,26,513,585,1405
HIMACHAL PRADESH,BILASPUR,2011,8,5,10,151,625,1074
HIMACHAL PRADESH,CHAMBA,2011,13,12,17,151,213,555
HIMACHAL PRADESH,G.R.P.,2011,1,0,0,2,1,4
HIMACHAL PRADESH,HAMIRPUR,2011,3,3,3,64,362,747
HIMACHAL PRADESH,KANGRA,2011,27,18,30,366,1119,2035
HIMACHAL PRADESH,KINNAUR,2011,5,6,3,28,64,147
HIMACHAL PRADESH,KULLU,2011,13,13,7,85,398,630
HIMACHAL PRADESH,LAHAUL-SPITI,2011,1,2,1,8,24,50
HIMACHAL PRADESH,MANDI,2011,18,16,11,238,963,1747
HIMACHAL PRADESH,SHIMLA,2011,16,18,13,553,1127,1964
HIMACHAL PRADESH,SIRMAUR,2011,3,10,13,95,361,703
HIMACHAL PRADESH,SOLAN,2011,15,12,13,196,476,1130
HIMACHAL PRADESH,UNA,2011,7,9,5,135,319,713
JAMMU & KASHMIR,ANANTNAG,2011,74,6,59,308,435,1104
JAMMU & KASHMIR,AWANTIPORA,2011,25,1,14,63,196,316
JAMMU & KASHMIR,BARAMULLA,2011,146,28,75,442,492,1533
JAMMU & KASHMIR,BORDER,2011,6,12,10,62,480,708
JAMMU & KASHMIR,BUDGAM,2011,84,7,40,255,241,812
JAMMU & KASHMIR,CRIME JAMMU,2011,0,0,0,0,0,27
JAMMU & KASHMIR,CRIME SRINAGAR,2011,0,0,0,0,0,69
JAMMU & KASHMIR,DODA,2011,104,7,15,61,202,627
JAMMU & KASHMIR,GANDERBAL,2011,26,5,33,116,132,395
JAMMU & KASHMIR,JAMMU,2011,33,13,43,1200,2187,3607
JAMMU & KASHMIR,KARGIL,2011,0,0,2,14,62,82
JAMMU & KASHMIR,KATHUA,2011,17,13,11,126,477,817
JAMMU & KASHMIR,KULGAM,2011,41,6,35,139,272,635
JAMMU & KASHMIR,KUPWARA,2011,141,6,47,115,280,1027
JAMMU & KASHMIR,LEH,2011,3,0,1,19,107,137
JAMMU & KASHMIR,POONCH,2011,100,13,16,147,241,766
JAMMU & KASHMIR,PULWAMA,2011,46,7,37,381,261,883
JAMMU & KASHMIR,RAILWAYS,2011,1,0,0,7,11,17
JAMMU & KASHMIR,RAJOURI,2011,77,17,20,74,602,965
JAMMU & KASHMIR,RAMBAN,2011,52,3,7,36,346,537
JAMMU & KASHMIR,REASI,2011,39,7,11,52,187,389
JAMMU & KASHMIR,SRINAGAR,2011,71,8,115,1421,1211,3042
JAMMU & KASHMIR,UDHAMPUR,2011,22,10,15,306,624,1010
JHARKHAND,BOKARO,2011,72,26,38,1044,644,1936
JHARKHAND,CHAIBASA,2011,119,32,17,245,214,669
JHARKHAND,CHATRA,2011,40,6,10,205,417,748
JHARKHAND,DEOGHAR,2011,51,22,7,339,275,1106
JHARKHAND,DHANBAD,2011,104,32,57,1343,1096,2916
JHARKHAND,DHANBAD RLY.,2011,11,2,4,440,88,360
JHARKHAND,DUMKA,2011,67,27,24,188,291,1016
JHARKHAND,GARHWA,2011,38,11,5,157,319,788
JHARKHAND,GIRIDIH,2011,69,42,15,365,953,1918
JHARKHAND,GODDA,2011,61,37,30,224,630,1030
JHARKHAND,GUMLA,2011,143,29,16,187,227,658
JHARKHAND,HAZARIBAGH,2011,80,41,42,914,761,2498
JHARKHAND,JAMSHEDPUR,2011,89,50,60,847,1100,2712
JHARKHAND,JAMSHEDPUR RLY.,2011,4,1,0,137,59,148
JHARKHAND,JAMTARA,2011,22,18,14,166,21,473
JHARKHAND,KODERMA,2011,22,2,14,196,251,667
JHARKHAND,LATEHAR,2011,59,12,4,118,145,380
JHARKHAND,LOHARDAGGA,2011,33,12,14,81,121,311
JHARKHAND,PAKUR,2011,31,23,7,92,236,483
JHARKHAND,PALAMU,2011,76,15,14,291,416,1461
JHARKHAND,RANCHI,2011,261,73,1,1436,22,1602
JHARKHAND,SAHEBGANJ,2011,50,20,17,193,171,628
JHARKHAND,SARAIKELA,2011,97,17,19,301,232,692
JHARKHAND,SIMDEGA,2011,51,17,12,58,88,247
KARNATAKA,BAGALKOT,2011,69,2,17,260,770,1710
KARNATAKA,BANGALORE COMMR.,2011,226,40,152,14978,11106,27254
KARNATAKA,BANGALORE,2011,139,13,37,1503,2120,5209
KARNATAKA,BELGAUM,2011,122,8,27,1031,2429,5053
KARNATAKA,BELLARY,2011,59,16,14,805,1445,3229
KARNATAKA,BIDAR,2011,52,7,19,594,2449,4371
KARNATAKA,BIJAPUR,2011,55,6,24,533,1163,2941
KARNATAKA,CHAMARAJNAGAR,2011,19,4,5,347,437,1390
KARNATAKA,CHICKMAGALUR,2011,44,8,12,602,1022,2766
KARNATAKA,CHITRADURGA,2011,31,18,4,425,1219,2691
KARNATAKA,DAKSHIN KANNADA,2011,33,3,9,660,1846,3047
KARNATAKA,DAVANAGERE,2011,64,22,23,936,1325,3301
KARNATAKA,DHARWAD COMMR.,2011,16,4,8,683,944,1902
KARNATAKA,DHARWAD,2011,27,3,3,111,497,899
KARNATAKA,GADAG,2011,23,2,4,178,392,899
KARNATAKA,GULBARGA,2011,98,20,35,843,1421,4169
KARNATAKA,HASSAN,2011,64,20,17,721,1544,4039
KARNATAKA,HAVERI,2011,28,3,12,317,1175,2211
KARNATAKA,K.G.F.,2011,23,1,12,316,258,906
KARNATAKA,KODAGU,2011,28,4,4,282,459,1301
KARNATAKA,KOLAR,2011,73,17,21,749,1385,3230
KARNATAKA,KOPPAL,2011,23,6,12,319,587,1406
KARNATAKA,MANDYA,2011,70,15,9,879,2234,4807
KARNATAKA,MYSORE COMMR.,2011,32,2,11,793,794,1903
KARNATAKA,MYSORE,2011,54,12,14,567,942,2900
KARNATAKA,RAICHUR,2011,42,12,11,450,857,2384
KARNATAKA,RAILWAYS,2011,12,1,1,682,174,583
KARNATAKA,SHIMOGA,2011,57,12,14,805,1864,4178
KARNATAKA,TUMKUR,2011,84,6,21,1042,1738,4141
KARNATAKA,UDUPI,2011,16,2,2,329,1231,1959
KARNATAKA,UTTAR KANNADA,2011,17,4,5,237,1474,2319
KERALA,ALAPUZHA,2011,24,21,8,635,4516,7319
KERALA,CBCID,2011,22,2,2,16,15,250
KERALA,ERNAKULAM,2011,51,38,20,3200,9669,14843
KERALA,IDUKKI,2011,34,34,0,764,2352,5421
KERALA,KANNUR,2011,30,42,12,721,2776,5888
KERALA,KASARGOD,2011,20,28,4,431,1277,3116
KERALA,KOLLAM,2011,62,55,16,978,4645,9282
KERALA,KOTTAYAM,2011,37,22,18,1119,3602,7082
KERALA,KOZHIKODE,2011,42,39,12,1319,4012,8394
KERALA,MALAPPURAM,2011,28,71,17,979,4011,7428
KERALA,PALAKKAD,2011,59,63,14,1002,2749,6516
KERALA,PATHANAMTHITTA,2011,36,12,0,409,2266,4100
KERALA,RAILWAYS,2011,0,1,0,397,39,289
KERALA,THRISSUR,2011,62,42,18,1520,6456,10465
KERALA,TRIVANDRUM,2011,59,57,41,1973,5336,11368
KERALA,WAYANADU,2011,17,35,1,410,823,2086
MADHYA PRADESH,BALAGHAT,2011,64,87,11,688,1310,2925
MADHYA PRADESH,BARWANI,2011,44,34,2,622,473,2008
MADHYA PRADESH,BETUL,2011,57,95,19,709,1112,2637
MADHYA PRADESH,BHIND,2011,65,31,47,817,1313,3361
MADHYA PRADESH,BHOPAL,2011,61,106,55,3653,9372,13708
MADHYA PRADESH,BHOPAL RLY.,2011,5,1,2,1445,257,1036
MADHYA PRADESH,CHHATARPUR,2011,55,65,28,608,1718,3361
MADHYA PRADESH,CHHINDWARA,2011,80,93,18,661,1335,3672
MADHYA PRADESH,DAMOH,2011,43,66,18,514,920,2879
MADHYA PRADESH,DATIYA,2011,53,12,25,319,908,1866
MADHYA PRADESH,DEWAS,2011,50,78,20,1788,2376,5039
MADHYA PRADESH,DHAR,2011,89,68,22,1622,2558,4910
MADHYA PRADESH,DINDORI,2011,13,20,2,142,467,821
MADHYA PRADESH,GUNA,2011,75,124,17,1198,2438,6001
MADHYA PRADESH,GWALIOR,2011,89,59,46,2933,2680,6846
MADHYA PRADESH,HARDA,2011,14,28,2,194,349,746
MADHYA PRADESH,HOSHANGABAD,2011,80,65,16,856,1240,2741
MADHYA PRADESH,INDORE,2011,112,84,50,6402,6567,13063
MADHYA PRADESH,INDORE RLY.,2011,8,2,0,396,108,353
MADHYA PRADESH,JABALPUR,2011,131,108,33,2496,3468,8333
MADHYA PRADESH,JABALPUR RLY.,2011,3,0,0,457,95,359
MADHYA PRADESH,JHABUA,2011,127,44,83,721,1653,3416
MADHYA PRADESH,KATNI,2011,52,25,9,675,590,2285
MADHYA PRADESH,KHANDWA,2011,41,63,14,902,2602,3911
MADHYA PRADESH,KHARGON,2011,52,47,15,1258,1714,3499
MADHYA PRADESH,MANDLA,2011,35,64,9,433,914,2122
MADHYA PRADESH,MANDSAUR,2011,29,41,15,1117,1128,2616
MADHYA PRADESH,MORENA,2011,65,35,35,1585,2539,5229
MADHYA PRADESH,NARSINGHPUR,2011,38,70,7,430,680,2311
MADHYA PRADESH,NEEMUCH,2011,17,37,16,970,773,2208
MADHYA PRADESH,PANNA,2011,24,44,11,353,1240,1921
MADHYA PRADESH,RAISEN,2011,48,79,11,517,1601,3009
MADHYA PRADESH,RAJGARH,2011,43,95,12,606,1967,3718
MADHYA PRADESH,RATLAM,2011,58,70,21,1223,1530,3342
MADHYA PRADESH,REWA,2011,53,31,26,1593,2291,4603
MADHYA PRADESH,SAGAR,2011,84,141,30,1520,2553,7681
MADHYA PRADESH,SATNA,2011,49,58,16,1630,2121,4763
MADHYA PRADESH,SEONI,2011,43,52,3,450,1065,2143
MADHYA PRADESH,SHAHDOL,2011,61,63,13,1278,2252,4162
MADHYA PRADESH,SHAJAPUR,2011,43,90,13,1496,1328,3663
MADHYA PRADESH,SHEOPUR,2011,26,21,18,252,327,1053
MADHYA PRADESH,SHIVPURI,2011,90,72,20,830,2101,4321
MADHYA PRADESH,SIDHI,2011,38,42,33,1022,1753,3508
MADHYA PRADESH,SIHORE,2011,36,59,29,1102,1755,3389
MADHYA PRADESH,TIKAMGARH,2011,56,86,7,544,1212,3078
MADHYA PRADESH,UJJAIN,2011,85,59,44,3679,3623,7641
MADHYA PRADESH,UMARIYA,2011,19,25,3,403,1231,1849
MADHYA PRADESH,VIDISHA,2011,47,112,10,730,1536,3635
MAHARASHTRA,AHMEDNAGAR,2011,98,44,37,1846,975,4391
MAHARASHTRA,AKOLA,2011,64,15,15,1809,1306,4020
MAHARASHTRA,AMRAVATI COMMR.,2011,47,23,27,1931,796,2837
MAHARASHTRA,AMRAVATI,2011,72,42,29,2457,640,3655
MAHARASHTRA,AURANGABAD COMMR.,2011,36,14,19,1285,569,2351
MAHARASHTRA,AURANGABAD,2011,61,28,16,788,580,2708
MAHARASHTRA,BEED,2011,69,22,25,1324,820,3644
MAHARASHTRA,BHANDARA,2011,35,39,4,1014,733,2252
MAHARASHTRA,BULDHANA,2011,50,22,22,1752,877,3701
MAHARASHTRA,CHANDRAPUR,2011,53,43,10,1433,922,3123
MAHARASHTRA,DHULE,2011,49,16,6,829,616,2040
MAHARASHTRA,GADCHIROLI,2011,50,27,7,390,461,1364
MAHARASHTRA,GONDIA,2011,44,23,17,903,617,2006
MAHARASHTRA,HINGOLI,2011,36,20,9,640,473,1841
MAHARASHTRA,JALGAON,2011,83,19,16,1382,1186,4014
MAHARASHTRA,JALNA,2011,43,16,12,945,587,2529
MAHARASHTRA,KOLHAPUR,2011,57,26,21,1453,915,3162
MAHARASHTRA,LATUR,2011,42,7,22,750,805,3044
MAHARASHTRA,MUMBAI,2011,301,127,148,26397,6095,28968
MAHARASHTRA,MUMBAI RLY.,2011,13,2,1,3544,97,2023
MAHARASHTRA,NAGPUR COMMR.,2011,114,39,64,6891,3076,9912
MAHARASHTRA,NAGPUR RLY.,2011,12,2,0,1546,170,1056
MAHARASHTRA,NAGPUR,2011,107,81,23,2707,1574,5680
MAHARASHTRA,NANDED,2011,84,23,41,1597,1655,5348
MAHARASHTRA,NANDURBAR,2011,44,16,6,337,268,1079
MAHARASHTRA,NASIK COMMR.,2011,27,9,14,1337,572,2195
MAHARASHTRA,NASIK,2011,93,39,17,1210,1297,4880
MAHARASHTRA,NAVI MUMBAI,2011,34,17,19,2223,617,3063
MAHARASHTRA,OSMANABAD,2011,49,16,8,916,626,2702
MAHARASHTRA,PARBHANI,2011,49,25,22,646,440,2475
MAHARASHTRA,PUNE COMMR.,2011,74,56,46,5954,2275,8936
MAHARASHTRA,PUNE RLY.,2011,6,0,0,608,52,386
MAHARASHTRA,PUNE,2011,125,42,24,1641,1379,4380
MAHARASHTRA,RAIGAD,2011,53,20,8,819,764,2218
MAHARASHTRA,RATNAGIRI,2011,18,10,8,623,429,1431
MAHARASHTRA,SANGLI,2011,86,32,18,1282,787,2999
MAHARASHTRA,SATARA,2011,57,32,12,1214,1210,3465
MAHARASHTRA,SINDHUDURG,2011,15,7,2,341,225,821
MAHARASHTRA,SOLAPUR COMMR.,2011,31,16,15,809,449,1567
MAHARASHTRA,SOLAPUR,2011,104,35,23,893,967,3145
MAHARASHTRA,THANE COMMR.,2011,136,39,62,4716,624,6616
MAHARASHTRA,THANE,2011,157,65,28,1595,741,3780
MAHARASHTRA,WARDHA,2011,64,35,12,1470,1051,3443
MAHARASHTRA,WASHIM,2011,32,15,13,956,441,1826
MAHARASHTRA,YAVATMAL,2011,66,56,37,1841,1204,4157
MANIPUR,BISHNUPUR,2011,30,1,3,30,98,226
MANIPUR,CHANDEL,2011,7,0,1,8,20,74
MANIPUR,CHURACHANDPUR,2011,35,1,0,28,47,132
MANIPUR,IMPHAL(EAST),2011,31,7,13,69,128,337
MANIPUR,IMPHAL(WEST),2011,46,7,48,282,521,1084
MANIPUR,SENAPATI,2011,27,0,6,21,111,176
MANIPUR,TAMENGLONG,2011,2,0,0,9,0,14
MANIPUR,THOUBAL,2011,32,4,22,54,156,403
MANIPUR,UKHRUL,2011,4,0,1,27,16,43
MEGHALAYA,GARO HILLS EAST,2011,16,2,5,53,39,134
MEGHALAYA,GARO HILLS SOUTH,2011,6,1,2,22,16,49
MEGHALAYA,GARO HILLS WEST,2011,19,5,14,98,74,235
MEGHALAYA,JAINTIA HILLS,2011,35,7,6,75,70,214
MEGHALAYA,KHASI HILLS EAST,2011,51,5,20,461,207,754
MEGHALAYA,KHASI HILLS WEST,2011,16,4,0,62,39,125
MEGHALAYA,RI-BHOI,2011,23,2,8,66,66,176
MIZORAM,AIZAWL,2011,16,26,0,1397,94,1126
MIZORAM,CHAMPHAI,2011,2,7,1,139,69,203
MIZORAM,KOLASIB,2011,4,6,0,185,53,216
MIZORAM,LAWNGTLAI,2011,2,2,0,60,112,160
MIZORAM,LUNGLEI,2011,5,3,0,287,27,229
MIZORAM,MAMIT,2011,4,0,0,38,20,74
MIZORAM,SAIHA,2011,2,3,0,30,124,182
MIZORAM,SERCHHIP,2011,1,5,1,60,0,56
NAGALAND,DIMAPUR,2011,40,4,13,372,99,464
NAGALAND,KIPHIRE,2011,1,0,0,12,10,18
NAGALAND,KOHIMA,2011,25,6,3,181,131,335
NAGALAND,MOKOKCHUNG,2011,16,1,1,43,32,93
NAGALAND,MON,2011,4,2,2,30,9,57
NAGALAND,PEREN,2011,0,0,0,18,11,28
NAGALAND,PHEK,2011,7,1,2,25,12,51
NAGALAND,TUENSANG,2011,1,0,0,19,18,41
NAGALAND,WOKHA,2011,12,1,2,70,23,93
NAGALAND,ZUNHEBOTO,2011,4,2,0,38,18,54
ODISHA,ANGUL,2011,44,33,5,454,488,1461
ODISHA,BALASORE,2011,19,58,37,546,1305,2341
ODISHA,BARAGARH,2011,32,19,8,407,580,1244
ODISHA,BERHAMPUR,2011,24,10,13,453,418,1270
ODISHA,BHADRAK,2011,27,35,20,283,770,1354
ODISHA,BOLANGIR,2011,36,19,16,300,554,1323
